participant_id,sheet_name,item_number,stimulus_target,asr_start_time,asr_end_time,draft_asr_text,FINAL_AUDIT_TRANSCRIPTION,notes
38011-1A,38011-1A,25,Después de llegar a casa del trabajo tomé la cena (17),312.12,317.52,Me gustaría los precios de las caras para nada.,Después de llegar a casa ... fulasena.,
38011-1A,38011-1A,26,El ladrón al que atrapó la policía era famoso (17),317.52,346.16,nada. Cruza a la derecha y siga derecho. Ella ha terminado los apartamentos.,"Perdón a la ... policía, eran famosos.",
38011-1A,38011-1A,27,Le pedí a un amigo que me ayudara con la tarea (17),346.16,364.62,pronto. Me gustaría las hacer pronto. El niño al que se le murió el gato está triste.,Le pedí a un amigo que ayudara con mi tarea,
38011-1A,38011-1A,28,El examen no fue tan difícil como me habían dicho (17),366.88,371.06,El niño que se murió el gato está triste.,El examen no fue ... ,
38011-1A,38011-1A,29,¿Serías tan amable de darme el libro que está en la mesa? (17),375.88,378.88,Una amiga viene cuidar a los niños a mi vecino.,Serías amable que lo están ...,
38011-1A,38011-1A,30,Hay mucha gente que no toma nada para el desayuno (17),381.6,386.52,Una amiga viene cuidar a los niños a mi vecino.,hay mucha gente que no tomara el desayuno,
38011-1A,38011-1A,UNASSIGNED_31,,386.52,411.94,vino. El gato era negro y el perro. Antes de que,,Extra segment picked up by ASR
38011-1A,38011-1A,UNASSIGNED_32,,411.94,428.54,que salir fue de cuarto. La cantidad de personas que fuman ha disminuido. La cantidad de personas,,Extra segment picked up by ASR
38011-1A,38011-1A,UNASSIGNED_33,,428.54,447.42,personas fuman que mi salido. Después de llegar a la casa fui a la cena.,,Extra segment picked up by ASR
38011-1A,38011-1A,UNASSIGNED_34,,458.54,465.64,"Perdón a la policía, eran famosos.",,Extra segment picked up by ASR
38011-1A,38011-1A,UNASSIGNED_35,,472.54,477.74,Le pedí a un amigo que ayudara con mi tarea.,,Extra segment picked up by ASR
38011-1A,38011-1A,UNASSIGNED_36,,488.54,490.98,El examen no fue...,,Extra segment picked up by ASR
38011-1A,38011-1A,UNASSIGNED_37,,503.72,507.44,Serías amable que lo están...,,Extra segment picked up by ASR
38011-1A,38011-1A,UNASSIGNED_38,,518.84,521.9,hay mucha gente que no tomara el desayuno,,Extra segment picked up by ASR
